reported_name,accepted_name,species_name
Chamaecrista_chamaecristoides_var_chamaecristoides,Chamaecrista_chamaecristoides_var_chamaecristoides,Chamaecrista_chamaecristoides
Chamaecrista_cruziana,Chamaecrista_chamaecristoides_var_cruziana,Chamaecrista_chamaecristoides
Chamaecrista_chapadae,Chamaecrista_chapadae,Chamaecrista_chapadae
Chamaecrista_chiquitana,Chamaecrista_chiquitana,Chamaecrista_chiquitana
Chamaecrista_choriophylla,Chamaecrista_choriophylla,Chamaecrista_choriophylla
Chamaecrista_chrysosepala,Chamaecrista_chrysosepala,Chamaecrista_chrysosepala
Chamaecrista_ciliolata,Chamaecrista_ciliolata,Chamaecrista_ciliolata
Chamaecrista_ciliolata_var_caprina,Chamaecrista_ciliolata_var_caprina,Chamaecrista_ciliolata
Chamaecrista_ciliolata_var_ciliolata,Chamaecrista_ciliolata_var_ciliolata,Chamaecrista_ciliolata
Chamaecrista_ciliolata_var_pulchella,Chamaecrista_ciliolata_var_pulchella,Chamaecrista_ciliolata
Chamaecrista_cinerascens,Chamaecrista_cinerascens,Chamaecrista_cinerascens
Chamaecrista_claussenii,Chamaecrista_claussenii,Chamaecrista_claussenii
Chamaecrista_comosa,Chamaecrista_comosa,Chamaecrista_comosa
Chamaecrista_comosa_var_capricornia,Chamaecrista_comosa_subsp_capricornia,Chamaecrista_comosa
Chamaecrista_comosa_var_lanata,Chamaecrista_comosa_subsp_comosa,Chamaecrista_comosa
Chamaecrista_compitalis,Chamaecrista_compitalis,Chamaecrista_compitalis
Chamaecrista_concinna,Chamaecrista_concinna,Chamaecrista_concinna
Chamaecrista_conferta,Chamaecrista_conferta,Chamaecrista_conferta
Chamaecrista_conferta_var_conferta,Chamaecrista_conferta_var_conferta,Chamaecrista_conferta
Chamaecrista_conferta_var_machrisiana,Chamaecrista_conferta_var_machrisiana,Chamaecrista_conferta
Chamaecrista_conferta_var_simulans,Chamaecrista_conferta_var_simulans,Chamaecrista_conferta
Chamaecrista_conferta_var_virgata,Chamaecrista_conferta_var_virgata,Chamaecrista_conferta
Chamaecrista_confertiformis,Chamaecrista_confertiformis,Chamaecrista_confertiformis
Chamaecrista_cytisoides_var_confertiformis,Chamaecrista_confertiformis,Chamaecrista_confertiformis
Chamaecrista_coradinii,Chamaecrista_coradinii,Chamaecrista_coradinii
Chamaecrista_schlimii,Chamaecrista_cordistipula,Chamaecrista_cordistipula
Chamaecrista_coriacea,Chamaecrista_coriacea,Chamaecrista_coriacea
Chamaecrista_cotinifolia,Chamaecrista_cotinifolia,Chamaecrista_cotinifolia
Chamaecrista_cotinifolia_var_cotinifolia,Chamaecrista_cotinifolia_var_cotinifolia,Chamaecrista_cotinifolia
Chamaecrista_cotinifolia_var_glaberrima,Chamaecrista_cotinifolia_var_glaberrima,Chamaecrista_cotinifolia
Chamaecrista_cotinifolia_var_leptodictya,Chamaecrista_cotinifolia_var_leptodictya,Chamaecrista_cotinifolia
Chamaecrista_cotinifolia_var_percoriacea,Chamaecrista_cotinifolia_var_percoriacea,Chamaecrista_cotinifolia
Chamaecrista_crenulata,Chamaecrista_crenulata,Chamaecrista_crenulata
Chamaecrista_cristalinae,Chamaecrista_cristalinae,Chamaecrista_cristalinae
Chamaecrista_crommyotricha,Chamaecrista_crommyotricha,Chamaecrista_crommyotricha
Chamaecrista_cultrifolia,Chamaecrista_cultrifolia,Chamaecrista_cultrifolia
Chamaecrista_cupeyalensis,Chamaecrista_cupeyalensis,Chamaecrista_cupeyalensis
Chamaecrista_cuprea,Chamaecrista_cuprea,Chamaecrista_cuprea
Chamaecrista_claussenii_var_cyclophylla,Chamaecrista_cyclophylla,Chamaecrista_cyclophylla
Chamaecrista_cytisoides,Chamaecrista_cytisoides,Chamaecrista_cytisoides
Chamaecrista_cytisoides_var_cytisoides,Chamaecrista_cytisoides_var_cytisoides,Chamaecrista_cytisoides
Chamaecrista_cytisoides_var_micrantha,Chamaecrista_cytisoides_var_micrantha,Chamaecrista_cytisoides
Chamaecrista_dalbergiifolia,Chamaecrista_dalbergiifolia,Chamaecrista_dalbergiifolia
Chamaecrista_dawsonii,Chamaecrista_dawsonii,Chamaecrista_dawsonii
