species,height_m,media_lma,sd_lma,carbon_nitrogen,nitrogen_leaf,xylopodium,leaf_area,leaf_mass,bio17_mean,bio17_sd,bio18_mean,bio18_sd,fire_mean,fire_sd,nitro_mean,nitro_sd,Amazon,Cerrado,Caatinga,CampoRupestre,AtlanticForest,CentralAmerica,NorthAmerica,ExtraAmerica,elevation_m,geographic_range,nearby_life_history,nearby_phy_distance,target
Chamaecrista_rossicorum,0.5,152.2848434,32.90053604,40.87578687,0.01335,present,9788,153,35692,0.747963348,606208,3.339252414,0.06176,0.002778425,176.8334683,1.374627721,0,0,0,1,0,0,0,0,1233,1.850051475,late_perennial,9.92931,late_perennial
Chamaecrista_rotundata,4.0,86.97229545,20.92161964,29.76281742,0.019475,present,11369,0.07875,35685,0.906781,565961,4.629766,0.02853,0.001738,189.5895,1.762347,0,0,0,1,0,0,0,0,1158,4.371602607,late_perennial,12.67438,NA
Chamaecrista_rotundifolia,0.5,NA,NA,NA,NA,absent,NA,NA,79.18,3.366716614,298082,5.038333868,0.01056,0.001349598,180.1314683,2.683218263,1,1,1,1,1,1,0,1,548,762.1399594,annual,13.44154,annual
Chamaecrista_rufa,1.5,NA,NA,NA,NA,absent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,0,1,959,219.1086917,annual,4.43537,NA
Chamaecrista_serpens,0.2,56.38190202,22.27172171,14.40407249,0.032925,absent,1.1615,0.0075,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,1,1,0,1,331,1527.470226,annual,2.34252,annual
Chamaecrista_simplifacta,0.8,192.0926387,29.49357001,36.57667715,0.0145,present,3.2035,0.0568,22256,0.429014025,546.6,4.506872063,0.05096,0.002917667,153.3694683,1.012437361,0,0,0,1,0,0,0,0,1206,0.1635623483,late_perennial,16.03449,NA
Chamaecrista_supplex,0.1,47.30683595,8.709449197,18.32460764,0.025775,absent,1.0275,0.00485,28186,1.758948153,200352,5.314730182,0.0243,0.002110623,120.4174683,1.429733708,1,1,1,0,0,0,0,0,404,116.373766,annual,2.34252,annual
Chamaecrista_swainsonii,0.7,130.7745055,8.326824966,29.39411929,0.0168,absent,9103,0.11885,88288,3.69180348,218066,3.685117565,0.00436,0.000734752,161.8834683,1.941266855,0,0,1,1,0,0,0,0,447.5,40.10265218,late_perennial,25.04878,NA
Chamaecrista_tenuisepala,1.0,90.77596112,2.719493691,23.91753843,0.019275,absent,919,0.0084,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,458,65.01474865,annual,24.18317,NA
Chamaecrista_tragacanthoides,0.2,140.2391229,37.05944362,41.6711103,0.01395,present,1314,0.0218,29655,0.894891,525783,6.519093,0.02554,0.001642,170.2495,2.921889,0,0,0,1,0,0,0,0,1175.5,15.74472574,late_perennial,12.2588,NA
Chamaecrista_trichopoda,NA,42.89381778,1.67188787,16.18617327,0.02895,absent,2781,0.0116,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,1,0,0,0,629.5,456.5097791,annual,5.0248,NA
Chamaecrista_ulmea,NA,121.3249224,28.17333668,34.86785604,0.0161,present,1618,0.0245,26608,1.247868191,374544,5.557283412,2.00E-04,0.00014128,171.0374683,1.811501608,0,0,0,1,0,0,0,0,1003.5,0.03433522652,late_perennial,11.43996,NA
Chamaecrista_unijuga,5.0,228.5836543,NA,35.55614973,0.0134,absent,11685,0.2671,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,12,11.08021386,late_perennial,9.35783,NA
Chamaecrista_venulosa,NA,49.84449566,2.519681339,21.43135959,0.023375,absent,3.7245,0.0194,64.81,2.639892017,504596,8.602087269,0.0103,0.001242944,199.3074683,2.718782587,0,0,0,1,0,0,0,0,1249,15.03256532,annual,24.18317,NA
Chamaecrista_wittei,NA,NA,NA,NA,NA,absent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,1854,278.6234202,annual,6.38003,annual
